numar matricol   nume si prenume               grupa  proba practica          puncte         puncte examen 
8830              Ion-79                         1012  20             0 0 1 0 1 1 1 1 1 0  24 
5131              Alexandru-10                   1016  26             1 0 1 1 1 1 1 1 0 0  7 
6537              Florentina-87                  1004  23             1 0 1 0 1 1 1 1 1 1  42 
6127              Aurel-3                        1009  22             0 0 1 1 0 1 0 0 0 0  4 
4520              Mircea-98                      1011  29             0 1 1 1 1 0 1 0 0 0  42 
2004              Gabriela-84                    1009  18             1 0 1 0 1 0 0 1 0 0  49 
8654              Claudiu-50                     1016  1              0 1 0 1 1 1 1 0 1 1  6 
9463              Ionela-74                      1009  24             0 1 0 0 1 1 0 1 0 0  5 
1468              Bogdan-44                      1003  25             0 0 0 1 1 0 1 0 0 0  34 
3865              Laurentiu-59                   1003  16             0 0 1 1 1 1 1 0 1 1  4 
5146              Tiberiu-51                     1014  30             0 0 0 0 0 1 0 0 1 0  36 
9219              Dalia-90                       1003  28             0 0 1 1 0 0 0 1 1 0  39 
9532              Dana-4                         1016  1              0 0 0 0 1 0 0 1 1 1  39 
8199              Tiberiu-83                     1005  0              0 0 0 0 0 1 1 1 1 0  16 
8125              Dalia-3                        1012  17             0 0 1 1 0 1 0 0 0 1  32 
4698              Andrei-26                      1014  5              1 1 0 0 1 1 0 1 0 1  9 
1662              Elena-45                       1017  11             0 1 0 1 1 1 0 0 1 1  6 
4620              Mircea-94                      1018  2              0 0 0 1 0 1 1 1 0 1  28 
6896              Tudor-63                       1006  10             0 1 1 0 1 1 1 1 1 0  40 
9566              Ancuta-15                      1007  30             1 1 0 1 0 0 0 1 1 0  40 
9084              Adina-50                       1002  5              1 0 0 1 0 0 0 0 1 1  18 
2904              Doina-72                       1012  5              1 0 0 1 0 0 0 1 1 0  12 
4107              Robert-45                      1005  25             0 0 0 1 0 1 1 0 1 1  15 
2028              Bogdana-58                     1007  8              0 0 1 0 1 0 0 1 1 1  27 
3876              Ruxandra-88                    1017  15             0 1 0 0 0 1 0 1 0 1  14 
4365              Sorina-63                      1001  1              0 1 0 0 1 1 1 0 1 0  17 
9333              Andreea-24                     1016  19             0 0 0 0 0 0 1 1 0 1  4 
5373              Ioana-85                       1019  20             0 1 0 0 1 1 1 1 0 0  28 
1454              Suzana-99                      1019  0              1 0 1 0 0 0 0 0 1 0  34 
7543              Stefan-22                      1009  15             0 0 0 0 0 1 1 1 0 1  11 
4240              Bogdana-66                     1002  21             1 1 1 1 1 0 1 1 0 0  7 
2395              Eliza-75                       1014  9              0 0 0 1 1 1 0 0 1 0  27 
3731              Rodica-77                      1014  30             1 0 1 0 1 1 1 0 1 1  40 
